Gender,Age,Under30,SeniorCitizen,Married,Dependents,NumberofDependents,Latitude,Longitude,ReferredaFriend,NumberofReferrals,TenureinMonths,Offer,PhoneService,AvgMonthlyLongDistanceCharges,MultipleLines,InternetService,InternetType,AvgMonthlyGBDownload,OnlineSecurity,OnlineBackup,DeviceProtectionPlan,PremiumTechSupport,StreamingTV,StreamingMovies,StreamingMusic,UnlimitedData,Contract,PaperlessBilling,PaymentMethod,MonthlyCharge,StatusID,AvgRevenue,EngagementScore,ServiceCount,HighValueCustomer,Churn,Recommendation
1,75,0,1,1,0,0,34.420998,-119.60137,1,3,49,2,1,22.92,1,1,2,14,0,1,0,0,0,1,0,1,0,0,1,90.05,2983,90.945,4412.45,3,1,1,Offer discount or cheaper plan options
1,77,0,1,1,0,0,34.419203,-119.710008,1,1,43,2,1,14.52,1,1,2,5,0,1,1,1,1,1,0,1,0,1,0,110.75,736,106.54318181818181,4762.25,4,0,1,Offer discount or cheaper plan options
1,80,0,1,1,0,0,35.869626,-119.498771,0,0,56,2,1,48.8,1,1,2,12,1,0,1,0,1,1,0,1,1,1,0,104.55,2426,101.66052631578947,5854.8,4,1,1,Offer discount or cheaper plan options
1,75,0,1,1,0,0,36.057458,-118.591951,1,7,20,0,1,5.31,1,1,2,10,0,0,0,0,1,1,1,1,0,1,0,94.55,6551,90.45952380952382,1891.0,4,1,1,Offer discount or cheaper plan options
0,69,0,1,0,0,0,35.772244,-119.209689,0,0,2,0,1,47.47,1,1,2,19,0,1,0,0,0,1,1,1,0,0,0,89.5,255,53.833333333333336,179.0,4,0,1,Provide onboarding support and early engagement offers
0,74,0,1,0,0,0,35.215731,-119.57013,0,0,8,0,1,27.95,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,19.65,1743,18.255555555555556,157.2,0,1,1,"Recommend service bundles (OTT, backup, etc.)"
1,76,0,1,0,0,0,33.507255,-117.029473,0,0,52,0,0,0.0,0,1,1,18,0,1,0,0,1,1,1,0,0,1,0,49.15,6552,48.130188679245286,2555.7999999999997,4,1,1,Encourage long-term contract with benefits
1,69,0,1,0,0,0,32.961064,-117.134917,0,0,2,0,1,43.99,0,1,1,27,1,0,0,0,0,0,0,1,0,1,0,49.25,4131,30.366666666666664,98.5,2,0,1,Provide onboarding support and early engagement offers
1,72,0,1,1,0,0,32.961064,-117.134917,1,1,33,0,1,27.78,1,1,2,8,0,0,0,0,1,1,0,1,0,1,0,94.5,4869,91.33970588235294,3118.5,3,0,1,Offer discount or cheaper plan options
0,69,0,1,0,0,0,32.961064,-117.134917,0,0,30,0,1,45.88,1,1,2,19,1,1,1,0,0,0,0,1,0,0,1,91.7,4704,88.97258064516129,2751.0,3,0,1,Offer discount or cheaper plan options
1,73,0,1,0,0,0,32.961064,-117.134917,0,0,20,0,1,44.44,1,1,2,13,0,0,1,0,1,1,0,0,0,1,0,98.55,6629,87.75238095238095,1971.0,2,1,1,Offer discount or cheaper plan options
0,65,0,1,0,0,0,36.798882,-120.019511,0,0,46,0,1,2.37,1,1,2,20,1,1,1,0,1,1,1,1,1,1,0,110.0,5209,103.71914893617021,5060.0,6,0,1,Offer discount or cheaper plan options
1,74,0,1,1,0,0,36.545322,-119.642281,1,1,7,0,1,21.91,1,1,0,11,0,0,0,0,1,1,0,1,0,1,0,95.6,5692,80.54375,669.1999999999999,3,0,1,Offer discount or cheaper plan options
0,65,0,1,0,0,0,36.719141,-119.202677,0,0,4,0,1,36.93,0,1,2,18,0,0,0,0,1,0,0,1,0,1,0,78.85,1496,58.56,315.4,2,1,1,Provide onboarding support and early engagement offers
0,66,0,1,0,0,0,36.654614,-119.903674,0,0,55,0,1,37.38,1,1,2,7,0,0,1,0,1,1,1,0,1,1,0,100.0,5966,98.38035714285715,5500.0,3,1,1,Offer discount or cheaper plan options
1,71,0,1,1,0,0,35.930782,-121.189757,1,1,20,0,1,5.37,0,1,2,24,0,1,0,0,0,0,0,1,0,1,0,73.65,922,69.69047619047619,1473.0,2,1,1,Encourage long-term contract with benefits
1,65,0,1,0,0,0,37.7795,-122.419233,0,0,9,0,1,48.71,1,1,2,15,0,0,1,0,1,1,1,1,0,1,0,100.5,3773,91.86,904.5,4,0,1,Offer discount or cheaper plan options
1,69,0,1,0,0,0,37.791998,-122.408653,0,0,10,0,1,5.46,0,1,2,24,0,1,0,0,0,0,0,0,0,1,0,72.85,1167,62.60454545454545,728.5,1,0,1,"Recommend service bundles (OTT, backup, etc.)"
1,75,0,1,1,0,0,37.758085,-122.434801,0,0,1,0,1,36.92,1,1,2,6,0,0,0,0,0,0,0,1,0,1,0,73.55,4039,36.775,73.55,1,0,1,Provide onboarding support and early engagement offers
0,75,0,1,0,0,0,37.820894,-122.369725,0,0,3,0,1,41.9,1,1,2,11,0,1,0,0,0,0,0,1,0,1,0,79.4,5898,51.2625,238.20000000000002,2,0,1,Provide onboarding support and early engagement offers
0,68,0,1,0,0,0,37.386978,-122.177746,0,0,4,0,1,6.68,1,1,0,17,0,0,0,0,0,1,0,1,0,1,0,84.6,2875,72.02000000000001,338.4,2,0,1,Provide onboarding support and early engagement offers
1,71,0,1,0,0,0,38.140719,-121.838298,0,0,35,0,1,20.83,1,1,2,19,0,0,1,0,1,1,0,0,0,1,0,99.05,3968,94.32777777777778,3466.75,2,0,1,Offer discount or cheaper plan options
1,80,0,1,0,0,0,37.83323,-121.601461,0,0,2,5,1,26.62,0,1,1,11,0,0,0,0,0,0,0,1,0,0,1,44.95,2079,28.383333333333336,89.9,1,1,1,Provide onboarding support and early engagement offers
1,66,0,1,0,0,0,37.516791,-121.899117,0,0,8,0,1,11.57,0,1,2,27,1,0,0,1,1,1,1,1,0,0,1,100.3,2932,92.48333333333333,802.4,5,1,1,Offer discount or cheaper plan options
1,73,0,1,1,0,0,37.571748,-121.659562,1,2,44,0,0,0.0,0,1,0,28,0,1,0,0,0,0,0,1,0,1,0,30.35,1261,30.215555555555557,1335.4,2,0,1,Encourage long-term contract with benefits
1,77,0,1,1,0,0,38.489789,-122.27011,1,1,62,0,1,7.11,1,1,2,16,0,1,1,0,1,1,1,1,1,1,0,103.75,5541,101.32301587301588,6432.5,5,1,1,Offer discount or cheaper plan options
0,76,0,1,1,0,0,37.633361,-121.862395,1,1,33,0,1,33.19,1,1,0,15,0,1,0,0,0,0,0,1,0,1,0,80.6,2671,78.13235294117646,2659.7999999999997,2,0,1,Offer discount or cheaper plan options
0,65,0,1,0,0,0,37.766556,-121.976784,0,0,4,5,1,49.5,1,1,2,23,0,0,0,0,1,1,1,1,0,1,0,94.3,1279,84.89,377.2,4,1,1,Provide onboarding support and early engagement offers
1,75,0,1,1,0,0,37.685052,-121.912061,1,1,27,0,1,10.6,1,1,2,23,0,0,0,0,0,0,0,1,0,1,0,75.5,1671,67.64107142857144,2038.5,1,0,1,"Recommend service bundles (OTT, backup, etc.)"
1,75,0,1,0,0,0,37.871416,-122.246597,0,0,8,5,1,40.45,1,1,2,29,0,0,1,0,1,1,0,1,0,1,0,100.6,4898,91.04444444444444,804.8,3,1,1,Offer discount or cheaper plan options
0,68,0,1,1,0,0,37.897753,-122.279391,1,1,3,5,1,25.77,0,1,2,2,1,0,0,1,1,0,0,1,0,1,2,88.3,3000,68.4375,264.9,3,0,1,Provide onboarding support and early engagement offers
0,71,0,1,0,0,0,37.872902,-122.303708,0,0,8,5,1,42.93,0,1,2,9,0,0,1,0,1,1,0,1,0,1,0,92.1,3711,81.10555555555555,736.8,3,1,1,Offer discount or cheaper plan options
1,74,0,1,0,0,0,37.946617,-122.563571,0,0,14,0,1,11.31,0,1,2,24,0,0,0,0,1,1,0,1,0,0,1,90.45,2992,84.40666666666667,1266.3,3,0,1,Offer discount or cheaper plan options
1,77,0,1,0,0,0,38.010092,-122.689442,0,0,12,0,0,0.0,0,1,1,10,0,0,1,1,0,1,0,1,0,1,0,43.65,1692,40.534615384615385,523.8,2,0,1,Encourage long-term contract with benefits
0,73,0,1,0,0,0,36.936228,-121.785559,0,0,13,0,1,40.37,0,1,2,21,0,0,1,0,0,0,0,1,0,1,0,74.3,5976,67.16785714285714,965.9,1,0,1,"Recommend service bundles (OTT, backup, etc.)"
0,68,0,1,0,0,0,37.03889,-121.528955,0,0,11,0,1,3.96,0,1,2,27,0,0,0,0,1,1,0,1,0,0,0,89.7,1817,87.30833333333334,986.7,3,0,1,Offer discount or cheaper plan options
1,74,0,1,1,0,0,37.222842,-121.988727,1,1,17,0,1,28.18,1,1,0,16,0,0,1,0,1,1,0,1,0,1,1,100.45,378,90.13611111111112,1707.65,3,1,1,Offer discount or cheaper plan options
1,65,0,1,1,0,0,37.316146,-121.936285,1,1,39,0,1,33.25,1,1,2,26,0,1,1,0,1,1,1,1,0,1,0,105.65,4624,107.12,4120.35,5,0,1,Offer discount or cheaper plan options
0,73,0,1,1,0,0,37.28682,-121.723877,1,5,11,0,1,17.25,1,1,2,27,0,0,1,1,1,1,0,1,0,1,0,104.05,1606,94.47083333333335,1144.55,3,0,1,Offer discount or cheaper plan options
0,74,0,1,1,0,0,38.358464,-120.579304,1,1,3,5,1,3.29,0,1,2,9,0,0,0,0,1,0,0,1,0,1,0,80.4,2786,56.0125,241.20000000000002,2,0,1,Provide onboarding support and early engagement offers
1,80,0,1,0,0,0,38.085839,-120.37855,0,0,21,0,1,34.62,0,1,1,14,0,0,1,0,1,0,0,1,0,1,0,60.05,5195,56.18863636363637,1261.05,2,0,1,Encourage long-term contract with benefits
0,76,0,1,0,0,0,33.141265,-116.967221,0,0,16,0,1,38.75,1,1,2,16,0,0,0,0,1,1,0,1,0,1,0,96.15,2005,89.95294117647059,1538.4,3,1,1,Offer discount or cheaper plan options
0,73,0,1,0,0,0,33.840524,-118.148403,0,0,46,0,1,6.13,0,1,2,30,0,1,0,0,1,1,0,1,1,0,1,95.25,42,94.13191489361702,4381.5,4,0,1,Offer discount or cheaper plan options
0,70,0,1,1,0,0,38.493888,-122.777141,1,1,68,1,1,24.13,1,1,2,24,0,1,0,0,0,1,0,1,0,1,0,89.6,5426,88.80579710144929,6092.799999999999,3,1,1,Offer discount or cheaper plan options
1,75,0,1,1,0,0,39.12334,-122.838198,1,1,7,5,1,13.63,0,1,2,27,0,0,0,0,1,1,0,1,0,1,0,89.5,1974,84.5875,626.5,3,0,1,Offer discount or cheaper plan options
1,74,0,1,1,0,0,40.166028,-123.584144,1,1,15,0,1,45.25,1,1,0,22,0,0,0,0,0,1,0,1,0,1,0,85.6,3,84.096875,1284.0,2,0,1,Offer discount or cheaper plan options
1,76,0,1,0,0,0,40.825486,-124.049485,0,0,16,0,1,19.18,1,1,2,22,0,0,0,0,1,0,0,1,0,1,0,86.6,4867,75.3529411764706,1385.6,2,0,1,Offer discount or cheaper plan options
0,75,0,1,0,0,0,40.665952,-124.240051,0,0,1,5,1,29.68,0,1,0,18,0,0,0,0,0,0,0,1,0,1,0,69.25,1438,34.625,69.25,1,0,1,Provide onboarding support and early engagement offers
0,74,0,1,0,0,0,40.485849,-124.163234,0,0,1,0,0,0.0,0,1,0,5,0,0,0,0,0,0,0,1,0,1,0,25.2,4981,12.6,25.2,1,1,1,Provide onboarding support and early engagement offers
0,73,0,1,0,0,0,38.544002,-121.685559,0,0,13,0,1,19.03,1,1,2,24,0,0,0,0,1,1,1,1,0,1,0,95.05,4881,92.14285714285714,1235.6499999999999,4,0,1,Offer discount or cheaper plan options
0,69,0,1,0,0,0,38.672638,-121.147403,0,0,1,0,1,20.06,0,1,2,24,0,0,0,0,1,0,0,1,0,1,0,79.2,5216,39.6,79.2,2,0,1,Provide onboarding support and early engagement offers
0,75,0,1,1,0,0,38.674276,-121.961866,1,1,34,0,1,2.88,1,1,2,4,0,1,1,0,0,1,0,1,0,1,0,94.25,5847,91.93,3204.5,3,0,1,Offer discount or cheaper plan options
0,65,0,1,0,0,0,38.833554,-121.498102,0,0,4,0,1,12.68,0,1,2,10,0,1,1,0,1,1,1,1,0,1,1,99.8,4009,88.57000000000001,399.2,5,0,1,Provide onboarding support and early engagement offers
0,77,0,1,0,0,0,38.984756,-121.345074,0,0,2,0,1,19.27,1,1,2,18,0,0,0,0,1,1,0,1,0,1,0,93.85,2023,56.949999999999996,187.7,3,0,1,Provide onboarding support and early engagement offers
1,67,0,1,0,0,0,39.043387,-121.409837,0,0,9,0,1,30.8,1,1,2,18,0,0,0,0,0,1,0,1,0,1,1,84.4,5774,73.25,759.6,2,1,1,Offer discount or cheaper plan options
0,78,0,1,0,0,0,38.591134,-121.161585,0,0,5,0,1,42.33,0,1,2,9,0,0,1,0,0,0,0,1,0,1,1,75.55,3775,58.275,377.75,1,0,1,Provide onboarding support and early engagement offers
1,65,0,1,0,0,0,40.171312,-121.120605,0,0,22,4,1,40.18,1,1,2,8,0,0,0,0,1,1,1,0,0,1,0,96.7,4113,90.56304347826087,2127.4,3,0,1,Offer discount or cheaper plan options
1,74,0,1,0,0,0,39.381174,-121.21191,0,0,19,4,1,39.97,1,1,2,9,0,1,0,0,1,0,0,1,0,1,0,88.2,1634,88.78999999999999,1675.8,3,1,1,Offer discount or cheaper plan options
1,70,0,1,0,0,0,40.077028,-121.494168,0,0,15,4,1,46.38,1,1,2,19,0,0,0,0,0,0,0,1,0,0,0,75.65,1831,71.665625,1134.75,1,0,1,"Recommend service bundles (OTT, backup, etc.)"
1,69,0,1,0,0,0,39.099204,-121.137962,0,0,1,0,1,11.34,1,1,2,20,0,0,0,0,0,0,0,1,0,1,0,74.7,2897,37.35,74.7,1,0,1,Provide onboarding support and early engagement offers
0,76,0,1,0,0,0,39.333737,-120.858667,0,0,1,0,0,0.0,0,1,1,26,0,0,0,0,0,0,0,0,0,1,2,25.8,1960,12.9,25.8,0,0,1,Provide onboarding support and early engagement offers
1,71,0,1,0,0,0,33.141265,-116.967221,0,0,10,4,1,41.37,1,1,2,14,0,0,0,0,1,1,0,1,0,1,0,95.35,6497,81.66818181818182,953.5,3,1,1,Offer discount or cheaper plan options
0,76,0,1,0,0,0,33.362575,-117.299644,0,0,3,0,1,30.14,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,45.0,1238,31.775,135.0,0,0,1,Provide onboarding support and early engagement offers
1,77,0,1,1,0,0,40.704293,-122.803899,1,1,12,4,1,6.97,0,1,2,19,0,0,0,0,0,1,0,1,0,1,0,80.45,712,73.0923076923077,965.4000000000001,2,1,1,Offer discount or cheaper plan options
1,74,0,1,0,0,0,40.582399,-122.195512,0,0,2,0,1,6.51,0,1,2,11,0,1,0,0,0,0,0,1,0,1,0,74.7,2636,55.13333333333333,149.4,2,0,1,Provide onboarding support and early engagement offers
1,77,0,1,0,0,0,40.923558,-122.059933,0,0,1,0,1,49.6,1,1,2,20,0,0,1,0,1,0,0,0,0,1,0,88.8,5909,44.4,88.8,1,0,1,Provide onboarding support and early engagement offers
1,76,0,1,1,0,0,32.957195,-117.202542,1,1,13,4,1,1.47,0,1,2,5,0,1,0,1,0,1,0,1,0,1,0,89.05,4970,83.52499999999999,1157.6499999999999,3,0,1,Offer discount or cheaper plan options
0,77,0,1,0,0,0,32.957195,-117.202542,0,0,23,4,1,31.17,0,1,2,23,0,1,0,0,1,1,0,1,0,1,0,94.75,2915,95.56666666666666,2179.25,4,0,1,Offer discount or cheaper plan options
0,80,0,1,1,0,0,32.957195,-117.202542,1,1,17,4,1,36.82,1,1,2,6,1,0,1,0,0,0,0,1,0,1,0,85.35,1653,81.30277777777778,1450.9499999999998,2,0,1,Offer discount or cheaper plan options
1,68,0,1,0,0,0,32.957195,-117.202542,0,0,17,0,1,40.93,0,1,1,2,0,0,0,0,0,0,0,1,0,1,0,45.05,4311,42.81111111111111,765.8499999999999,1,0,1,"Recommend service bundles (OTT, backup, etc.)"
0,79,0,1,0,0,0,32.957195,-117.202542,0,0,42,0,1,9.53,1,1,2,17,0,0,0,0,1,0,0,1,0,1,0,84.65,5346,82.35697674418604,3555.3,2,0,1,Offer discount or cheaper plan options
1,65,0,1,0,0,0,32.957195,-117.202542,0,0,1,0,1,42.3,0,1,2,16,0,0,0,0,1,0,0,1,0,1,0,79.1,3592,39.55,79.1,2,1,1,Provide onboarding support and early engagement offers
1,68,0,1,0,0,0,32.898613,-117.202937,0,0,1,5,1,39.78,0,1,0,12,0,0,1,0,0,0,0,1,0,1,2,50.15,989,25.075,50.15,1,0,1,Provide onboarding support and early engagement offers
0,72,0,1,0,0,0,33.86532,-118.396336,0,0,1,5,1,34.51,0,1,2,15,0,0,0,0,0,0,0,1,0,1,0,69.6,2383,34.8,69.6,1,0,1,Provide onboarding support and early engagement offers
0,66,0,1,0,0,0,33.845706,-118.012204,0,0,41,0,1,27.95,1,1,2,23,1,1,1,0,1,1,1,1,0,1,0,113.2,4679,111.6547619047619,4641.2,6,0,1,Offer discount or cheaper plan options
1,68,0,1,0,0,0,33.874224,-117.993368,0,0,13,0,1,26.11,0,1,2,4,0,0,0,0,1,1,1,0,0,1,0,90.5,6861,85.79642857142858,1176.5,3,1,1,Offer discount or cheaper plan options
1,69,0,1,1,0,0,33.781086,-118.199049,1,1,32,0,1,5.99,1,1,2,23,0,0,0,0,0,1,1,1,0,1,0,85.0,4831,80.06212121212121,2720.0,3,0,1,Offer discount or cheaper plan options
1,76,0,1,1,0,0,34.110444,-118.156957,1,1,32,0,1,49.6,1,1,2,10,0,0,0,0,0,1,1,1,0,0,0,85.3,3007,80.63939393939394,2729.6,3,0,1,Offer discount or cheaper plan options
1,70,0,1,1,0,0,34.167926,-118.267539,1,1,57,0,0,0.0,0,1,0,3,0,0,0,0,1,1,1,1,0,1,0,44.85,5449,44.36120689655172,2556.4500000000003,4,1,1,Encourage long-term contract with benefits
1,71,0,1,0,0,0,34.136306,-118.26036,0,0,1,5,1,15.28,0,1,0,14,0,0,0,0,0,0,0,1,0,0,0,45.1,3566,22.55,45.1,1,0,1,Provide onboarding support and early engagement offers
1,75,0,1,0,0,0,34.200175,-118.540958,0,0,1,5,0,0.0,0,1,1,26,0,1,1,0,0,1,0,1,0,1,0,43.3,936,21.65,43.3,3,0,1,Provide onboarding support and early engagement offers
0,67,0,1,0,0,0,34.321621,-118.399841,0,0,38,0,1,26.1,0,1,1,27,1,1,0,0,0,0,0,1,0,1,1,57.15,173,57.70897435897436,2171.7,3,0,1,Encourage long-term contract with benefits
0,65,0,1,1,0,0,34.177267,-118.31003,1,1,35,0,1,15.98,1,1,0,22,1,1,0,1,1,0,0,1,0,1,0,100.5,4051,101.48194444444444,3517.5,4,0,1,Offer discount or cheaper plan options
0,80,0,1,0,0,0,34.187599,-118.387125,0,0,1,5,1,15.24,0,1,1,14,0,0,0,0,0,0,0,1,0,0,1,45.1,254,22.55,45.1,1,0,1,Provide onboarding support and early engagement offers
1,71,0,1,1,0,0,33.990646,-117.663025,1,1,30,0,1,4.65,0,1,1,29,0,1,0,0,0,0,0,1,0,1,0,50.4,2858,49.274193548387096,1512.0,2,0,1,Encourage long-term contract with benefits
0,70,0,1,0,0,0,34.127621,-117.717863,0,0,5,5,1,12.27,0,1,2,20,0,0,0,0,0,1,0,1,0,0,0,78.95,4816,63.06666666666666,394.75,2,0,1,Provide onboarding support and early engagement offers
1,73,0,1,0,0,0,32.825086,-117.199424,0,0,1,5,1,30.17,1,1,2,6,0,0,0,0,1,1,0,1,0,1,0,93.55,5756,46.775,93.55,3,1,1,Provide onboarding support and early engagement offers
